State,County,Domain Category,Value
ALABAMA,ELMORE,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ALABAMA,HALE,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
ALABAMA,MACON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,PERRY,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,BALDWIN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
ALABAMA,CLARKE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,ESCAMBIA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
ALABAMA,MOBILE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,MOBILE,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
ALABAMA,MONROE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,WASHINGTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,BLOUNT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,CALHOUN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
ALABAMA,CLEBURNE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ALABAMA,CULLMAN,INVENTORY OF MILK COWS: (1 TO 9 HEAD),9
ALABAMA,CULLMAN,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
ALABAMA,CULLMAN,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ALABAMA,JACKSON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,MARSHALL,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
ALABAMA,COLBERT,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ALABAMA,LAUDERDALE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ALABAMA,MADISON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,WINSTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,BIBB,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,CHAMBERS,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,CHAMBERS,INVENTORY OF MILK COWS: (100 TO 199 HEAD),2
ALABAMA,CHAMBERS,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ALABAMA,CHILTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ALABAMA,COOSA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,FAYETTE,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ALABAMA,LAMAR,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,LAMAR,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ALABAMA,LEE,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
ALABAMA,PICKENS,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
ALABAMA,RANDOLPH,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,RANDOLPH,INVENTORY OF MILK COWS: (100 TO 199 HEAD),1
ALABAMA,SHELBY,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,TALLADEGA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,TALLAPOOSA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),3
ALABAMA,BARBOUR,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,CRENSHAW,INVENTORY OF MILK COWS: (10 TO 19 HEAD),1
ALABAMA,GENEVA,INVENTORY OF MILK COWS: (100 TO 199 HEAD),2
ALABAMA,HOUSTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ALABAMA,HOUSTON,INVENTORY OF MILK COWS: (200 TO 499 HEAD),1
ALABAMA,RUSSELL,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ALABAMA,RUSSELL,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ALASKA,KENAI PENINSULA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
ALASKA,ANCHORAGE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),9
ALASKA,FAIRBANKS NORTH STAR,INVENTORY OF MILK COWS: (1 TO 9 HEAD),11
ALASKA,FAIRBANKS NORTH STAR,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
ALASKA,FAIRBANKS NORTH STAR,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARIZONA,APACHE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),15
ARIZONA,COCONINO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ARIZONA,GILA,INVENTORY OF MILK COWS: (10 TO 19 HEAD),6
ARIZONA,MOHAVE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),5
ARIZONA,NAVAJO,INVENTORY OF MILK COWS: (1 TO 9 HEAD),6
ARIZONA,YAVAPAI,INVENTORY OF MILK COWS: (1 TO 9 HEAD),8
ARIZONA,COCHISE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ARIZONA,COCHISE,INVENTORY OF MILK COWS: (10 TO 19 HEAD),3
ARIZONA,COCHISE,INVENTORY OF MILK COWS: (50 TO 99 HEAD),2
ARIZONA,COCHISE,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
ARIZONA,GRAHAM,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ARIZONA,LAPAZ,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
ARIZONA,MARICOPA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),11
ARIZONA,MARICOPA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),22
ARIZONA,PIMA,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ARIZONA,PINAL,INVENTORY OF MILK COWS: (1 TO 9 HEAD),4
ARIZONA,PINAL,INVENTORY OF MILK COWS: (20 TO 49 HEAD),3
ARIZONA,PINAL,INVENTORY OF MILK COWS: (500 OR MORE HEAD),14
ARIZONA,SANTA CRUZ,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARIZONA,SANTA CRUZ,INVENTORY OF MILK COWS: (20 TO 49 HEAD),2
ARIZONA,YUMA,INVENTORY OF MILK COWS: (500 OR MORE HEAD),1
ARKANSAS,CONWAY,INVENTORY OF MILK COWS: (20 TO 49 HEAD),1
ARKANSAS,CONWAY,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
ARKANSAS,FAULKNER,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARKANSAS,FAULKNER,INVENTORY OF MILK COWS: (200 TO 499 HEAD),2
ARKANSAS,GARLAND,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,SALINE,INVENTORY OF MILK COWS: (1 TO 9 HEAD),1
ARKANSAS,FULTON,INVENTORY OF MILK COWS: (1 TO 9 HEAD),2
ARKANSAS,FULTON,INVENTORY OF MILK COWS: (50 TO 99 HEAD),1
